,title,link,create_time
0,招聘 | 京东方2027届「先锋京英计划」全球校园招聘正式启动！,http://mp.weixin.qq.com/s?__biz=MzA5NDI3MjM3MQ==&mid=2652001217&idx=1&sn=c491050ddd492517ee2235974df14386&chksm=8bb7ddddbcc054cba7734ee802ca3952e0bda762ddfef0e57148f1205ed08ee2e3cfbafc1916#rd,2026-07-03 11:37
1,种子计划 | 上海交通大学附属闵行实验学校2026年教师招聘公告,http://mp.weixin.qq.com/s?__biz=MzA5NDI3MjM3MQ==&mid=2652001217&idx=2&sn=872a1cf979fe08dc08de269dfc71f855&chksm=8bb7ddddbcc054cb5c99043683c293b332322f5050a7ad7638d260e1679fd15f6f46d464aa7f#rd,2026-07-03 11:37
2,活动 | AI引擎×游戏引擎——米哈游技术沙龙报名启动,http://mp.weixin.qq.com/s?__biz=MzA5NDI3MjM3MQ==&mid=2652001217&idx=3&sn=59dca7594aae0bef6df7860911c89b32&chksm=8bb7ddddbcc054cb2ac019f16651efd53f7093db05e6972ac50a5fddcbab7208b5686fbef766#rd,2026-07-03 11:37
3,招聘会 | 离校未就业专场 | 上海大学2026届毕业生夏季网络招聘会,http://mp.weixin.qq.com/s?__biz=MzA5NDI3MjM3MQ==&mid=2652001201&idx=1&sn=9dfb05a24bfffa24a89ce4dab6a52b24&chksm=8bb7ddadbcc054bb16bb711d52d6777dd72b9fcca5b7f77db93e2ab28b9de0e16f4bf3f1639b#rd,2026-07-02 15:33
4,实习 | 「奇瑞捷豹路虎2027届FREE UP实习生项目」正式启动！,http://mp.weixin.qq.com/s?__biz=MzA5NDI3MjM3MQ==&mid=2652001201&idx=2&sn=04cb7bbfd3400e38431eb047fac04109&chksm=8bb7ddadbcc054bb33e8b39cee00a14e8475f5f821d85b6993251609c39312306ed147dbf62a#rd,2026-07-02 15:33
5,奔赴常州，筑梦未来！苏荟英才·“常宝”有约 | 青年人才周活动招募令,http://mp.weixin.qq.com/s?__biz=MzA5NDI3MjM3MQ==&mid=2652001201&idx=3&sn=c9abd6bb7ee8d8a3519d5b20431f6ded&chksm=8bb7ddadbcc054bb7b893cc650ebfc0b5142d5565b666d5fb0ebab00799e1cc5ce3322fd7eb8#rd,2026-07-02 15:33
6,招聘 | 中兴通讯2027届未来领军人才招聘,http://mp.weixin.qq.com/s?__biz=MzA5NDI3MjM3MQ==&mid=2652001192&idx=1&sn=494f11c5a5e63834fabaad9fcb133aa9&chksm=8bb7ddb4bcc054a2068390a2b92eea9f5f7c609c8ccca2586c3648d21364132984ebb64c03bf#rd,2026-07-01 15:41
7,招聘 ｜ 泉城实验室 招聘公告,http://mp.weixin.qq.com/s?__biz=MzA5NDI3MjM3MQ==&mid=2652001192&idx=2&sn=6c95f2ff01c34af41a2b3ce7d9b53bc4&chksm=8bb7ddb4bcc054a2544085d07afba0fc8cc0debf99da4bea0b16e621d8d5d2d79dd32cec57ee#rd,2026-07-01 15:41
8,大赛 | “上汽杯”第五届青年共创者大赛,http://mp.weixin.qq.com/s?__biz=MzA5NDI3MjM3MQ==&mid=2652001192&idx=3&sn=201636a0c63b1cdb76166e1e3eb13030&chksm=8bb7ddb4bcc054a2272fd07af5023f20c686f97589763aba74cf3b845becfd754d5f57c5bcd5#rd,2026-07-01 15:41
9,共话发展 | 上海大学2021届、2025届本科毕业生跟踪调研邀约,http://mp.weixin.qq.com/s?__biz=MzA5NDI3MjM3MQ==&mid=2652001154&idx=1&sn=2b1920c5d1d972ce45dbfb20fb3b43c2&chksm=8bb7dd9ebcc054887446172df0736b1171a4872e3dc2866cc96e75168ce02d199e5746cb45bf#rd,2026-06-30 09:39
